year,monthdth,ucod,date
2000,1,6118,1/1/2000
2000,2,4834,1/2/2000
2000,3,4666,1/3/2000
2000,4,4325,1/4/2000
2000,5,4329,1/5/2000
2000,6,4276,1/6/2000
2000,7,4410,1/7/2000
2000,8,4371,1/8/2000
2000,9,4078,1/9/2000
2000,10,4497,1/10/2000
2000,11,4668,1/11/2000
2000,12,5153,1/12/2000
2001,1,5431,1/1/2001
2001,2,4781,1/2/2001
2001,3,5282,1/3/2001
2001,4,4923,1/4/2001
2001,5,4673,1/5/2001
2001,6,4566,1/6/2001
2001,7,4445,1/7/2001
2001,8,4451,1/8/2001
2001,9,4295,1/9/2001
2001,10,4636,1/10/2001
2001,11,4618,1/11/2001
2001,12,4862,1/12/2001
2002,1,5483,1/1/2002
2002,2,5168,1/2/2002
2002,3,5485,1/3/2002
2002,4,4540,1/4/2002
2002,5,4466,1/5/2002
2002,6,4396,1/6/2002
2002,7,4294,1/7/2002
2002,8,4214,1/8/2002
2002,9,4196,1/9/2002
2002,10,4434,1/10/2002
2002,11,4685,1/11/2002
2002,12,5148,1/12/2002
2003,1,5241,1/1/2003
2003,2,4779,1/2/2003
2003,3,5094,1/3/2003
2003,4,4665,1/4/2003
2003,5,4625,1/5/2003
2003,6,4623,1/6/2003
2003,7,4549,1/7/2003
2003,8,4469,1/8/2003
2003,9,4293,1/9/2003
2003,10,4594,1/10/2003
2003,11,4532,1/11/2003
2003,12,6009,1/12/2003
2004,1,5640,1/1/2004
2004,2,4882,1/2/2004
2004,3,5046,1/3/2004
2004,4,4709,1/4/2004
2004,5,4588,1/5/2004
2004,6,4423,1/6/2004
2004,7,4532,1/7/2004
2004,8,4535,1/8/2004
2004,9,4208,1/9/2004
2004,10,4748,1/10/2004
2004,11,4641,1/11/2004
2004,12,5202,1/12/2004
2005,1,5676,1/1/2005
2005,2,5418,1/2/2005
2005,3,5824,1/3/2005
2005,4,5046,1/4/2005
2005,5,4889,1/5/2005
2005,6,4506,1/6/2005
2005,7,4397,1/7/2005
2005,8,4252,1/8/2005
2005,9,4336,1/9/2005
2005,10,4580,1/10/2005
2005,11,4681,1/11/2005
2005,12,5357,1/12/2005
2006,1,5593,1/1/2006
2006,2,5218,1/2/2006
2006,3,5863,1/3/2006
2006,4,5230,1/4/2006
2006,5,5023,1/5/2006
2006,6,4690,1/6/2006
2006,7,4603,1/7/2006
2006,8,4491,1/8/2006
2006,9,4540,1/9/2006
2006,10,4844,1/10/2006
2006,11,4793,1/11/2006
2006,12,5491,1/12/2006
2007,1,5342,1/1/2007
2007,2,4853,1/2/2007
2007,3,5275,1/3/2007
2007,4,4922,1/4/2007
2007,5,4663,1/5/2007
2007,6,4309,1/6/2007
2007,7,4345,1/7/2007
2007,8,4275,1/8/2007
2007,9,4284,1/9/2007
2007,10,4593,1/10/2007
2007,11,4582,1/11/2007
2007,12,5154,1/12/2007
